movie_id,rank,title,originalTitle,description,year,votes,rating,runtimeMinutes,ratingCategory,genres
tt5613484,217,Mid90s,Mid90s,"Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.",2018,86000,7.4,85,R,"Comedy,Drama"
tt1137450,231,Death Wish,Death Wish,"Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.",2018,81000,6.3,107,R,"Action,Crime,Drama"
tt7775622,224,Free Solo,Free Solo,"Alex Honnold faces the biggest challenge of his career, climbing El Capitan in Yosemite National Park. He pursues it Free Solo, which means climbing without a rope and alone.",2018,84000,8.1,100,PG-13,"Adventure,Documentary,Sport"
tt9686708,230,The King of Staten Island,The King of Staten Island,Scott has been a case of arrested development since his firefighter dad died. He spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward in life.,2020,81000,7.1,136,R,"Comedy,Drama"
tt1005951,221,Unhinged,Peter Brook,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",2020,85000,6.0,90,R,Documentary
tt9866072,219,Holidate,Holidate,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",2020,85000,6.2,104,TV-MA,"Comedy,Romance"
tt3513498,226,The Lego Movie 2: The Second Part,The Lego Movie 2: The Second Part,"It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild.",2019,83000,6.5,107,PG,"Action,Adventure,Animation"
tt1028027,247,Coolie No. 1,"Osa 58. Savonlinna, Wanha kasino","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire.",2020,75000,4.2,134,TV-14,History
tt4916630,227,Just Mercy,Just Mercy,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,2019,82000,7.6,137,PG-13,"Biography,Crime,Drama"
tt7282468,223,Burning,Burning,"Jong-su bumps into a girl who used to live in the same neighborhood, who asks him to look after her cat while she's on a trip to Africa. When back, she introduces Ben, a mysterious guy she met there, who confesses his secret hobby.",2018,84000,7.4,148,Not Rated,"Drama,Mystery,Thriller"
tt2452244,241,Isn't It Romantic,Isn't It Romantic,A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.,2019,76000,5.9,89,PG-13,"Comedy,Fantasy,Musical"
tt8688634,234,21 Bridges,21 Bridges,An embattled NYPD detective is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy.,2019,80000,6.7,99,R,"Action,Crime,Drama"
tt4477536,229,Fifty Shades Freed,Fifty Shades Freed,"Anastasia (Dakota Johnson) and Christian (Jamie Dornan) get married, but Jack Hyde (Eric Johnson) continues to threaten their relationship.",2018,81000,4.6,105,R,"Drama,Romance,Thriller"
tt8368406,213,Vivarium,Vivarium,A young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses.,2019,87000,5.9,97,R,"Horror,Mystery,Sci-Fi"
tt8291224,237,Uri: The Surgical Strike,Uri: The Surgical Strike,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",2019,78000,8.2,138,Not Rated,"Action,Drama,History"
tt8368512,232,The Courier,The Courier,Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis.,2020,80000,7.2,112,PG-13,"Drama,History,Mystery"
tt1846589,235,Hunter Killer,Hunter Killer,"An untested American submarine captain teams with U.S. Navy Seals to rescue the Russian president, who has been kidnapped by a rogue general.",2018,79000,6.6,121,R,"Action,Thriller"
tt5726086,236,Insidious: The Last Key,Insidious: The Last Key,"Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home where the terror began.",2018,78000,5.7,103,PG-13,"Horror,Mystery,Thriller"
tt1091938,233,Freaky,Episode #2.42,"After swapping bodies with a deranged serial killer, a high-school senior discovers that she has fewer than 24 hours before the change becomes permanent.",2020,80000,6.3,102,R,Talk-Show
tt6673612,239,Dolittle,Dolittle,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,2020,77000,5.6,101,PG,"Adventure,Comedy,Family"
tt6850820,246,Peppermint,Peppermint,"Five years after her husband and daughter are killed in a senseless act of violence, a woman comes back from self-imposed exile to seek revenge against those responsible and the system that let them go free.",2018,75000,6.5,101,R,"Action,Thriller"
tt1103237,193,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,Laying a Marine Cable,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",2020,94000,8.2,117,TV-14,"Documentary,Short"
tt4971344,248,The Sisters Brothers,The Sisters Brothers,"Eli and Charlie Sisters, an infamous duo of gunslinging assassins, chase a gold prospector and his unexpected ally in 1850s Oregon.",2018,75000,6.9,122,R,"Drama,Western"
tt8637428,245,The Farewell,The Farewell,"A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies.",2019,75000,7.5,100,PG,"Comedy,Drama"
tt5461944,238,Hotel Mumbai,Hotel Mumbai,The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.,2018,77000,7.6,123,R,"Action,Drama,History"
