movie_id,rank,title,runtime,year,rating,votes
tt4881806,37,Jurassic World: Fallen Kingdom,2h 8m,2018,6.1, (373K
tt7653254,38,Marriage Story,2h 17m,2019,7.9, (366K
tt3606756,39,Incredibles 2,1h 58m,2018,7.5, (361K
tt5727208,40,Uncut Gems,2h 15m,2019,7.4, (343K
tt7349950,41,It: Chapter Two,2h 49m,2019,6.5, (338K
tt9243946,42,El Camino,2h 2m,2019,7.3, (328K
tt4123430,43,Fantastic Beasts: The Crimes of Grindelwald,2h 14m,2018,6.5, (326K
tt0437086,44,Alita: Battle Angel,2h 2m,2019,7.3, (318K
tt8228288,45,The Platform,1h 34m,2019,7.0, (316K
tt8332922,46,A Quiet Place Part II,1h 37m,2020,7.2, (314K
tt7975244,47,Jumanji: The Next Level,2h 3m,2019,6.6, (311K
tt6139732,48,Aladdin,2h 8m,2019,6.9, (309K
tt7349662,49,BlacKkKlansman,2h 15m,2018,7.5, (308K
tt7126948,50,Wonder Woman 1984,2h 31m,2020,5.3, (307K
tt1979376,51,Toy Story 4,1h 40m,2019,7.6, (305K
tt6823368,52,Glass,2h 9m,2019,6.6, (299K
tt7984734,53,The Lighthouse,1h 49m,2019,7.4, (293K
tt6105098,54,The Lion King,1h 58m,2019,6.8, (287K
tt8936646,55,Extraction,1h 56m,2020,6.8, (284K
tt7713068,56,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,1h 49m,2020,6.1, (279K
tt1051906,57,The Invisible Man,2h 4m,2020,7.1, (278K
tt3281548,58,Little Women,2h 15m,2019,7.8, (276K
tt2935510,59,Ad Astra,2h 3m,2019,6.5, (275K
tt2704998,60,Game Night,1h 40m,2018,6.9, (271K
tt5164214,61,Ocean's Eight,1h 50m,2018,6.3, (257K
tt5083738,62,The Favourite,1h 59m,2018,7.5, (253K
tt6806448,63,Fast & Furious Presents: Hobbs & Shaw,2h 17m,2019,6.4, (252K
tt7846844,64,Enola Holmes,2h 3m,2020,6.6, (239K
tt5606664,65,Doctor Sleep,2h 32m,2019,7.3, (238K
tt1365519,66,Tomb Raider,1h 59m,2018,6.3, (238K
tt9620292,67,Promising Young Woman,1h 53m,2020,7.5, (231K
tt6499752,68,Upgrade,1h 40m,2018,7.5, (229K
tt7798634,69,Ready or Not,1h 35m,2019,6.8, (225K
tt3741700,70,Godzilla: King of the Monsters,2h 12m,2019,6.0, (224K
tt4779682,71,The Meg,1h 53m,2018,5.7, (224K
tt6565702,72,X-Men: Dark Phoenix,1h 53m,2019,5.7, (223K
tt3766354,73,The Equalizer 2,2h 1m,2018,6.7, (223K
tt4729430,74,Klaus,1h 36m,2019,8.2, (222K
tt1027238,75,The Father,1h 37m,2020,8.2, (221K
tt1560220,76,Zombieland: Double Tap,1h 39m,2019,6.7, (220K
